profile_id,profile_kind,factor_1_anchor,factor_2_anchor,factor_3_anchor,factor_4_anchor,factor_5_anchor
featured,featured,4,3,5,2,4
sensitivity_01,sensitivity,5,2,4,1,1
sensitivity_02,sensitivity,2,3,5,1,1
sensitivity_03,sensitivity,1,1,2,1,2
sensitivity_04,sensitivity,2,3,3,4,2
sensitivity_05,sensitivity,5,1,3,2,5
sensitivity_06,sensitivity,3,1,1,2,4
sensitivity_07,sensitivity,3,2,5,3,2
sensitivity_08,sensitivity,4,4,5,1,4
sensitivity_09,sensitivity,5,3,3,5,4
sensitivity_10,sensitivity,1,4,5,3,3
sensitivity_11,sensitivity,1,4,2,4,1
sensitivity_12,sensitivity,4,4,1,3,3
sensitivity_13,sensitivity,2,5,2,4,2
sensitivity_14,sensitivity,5,5,3,5,2
sensitivity_15,sensitivity,4,3,5,5,5
sensitivity_16,sensitivity,3,2,5,5,5
sensitivity_17,sensitivity,3,3,2,1,3
sensitivity_18,sensitivity,3,4,3,1,2
sensitivity_19,sensitivity,1,3,4,4,5
sensitivity_20,sensitivity,1,2,5,1,2
sensitivity_21,sensitivity,2,4,3,1,3
sensitivity_22,sensitivity,5,4,4,4,2
sensitivity_23,sensitivity,1,4,1,3,3
sensitivity_24,sensitivity,3,3,1,2,5
sensitivity_25,sensitivity,5,3,5,4,5
sensitivity_26,sensitivity,2,5,5,5,4
sensitivity_27,sensitivity,2,2,4,1,3
sensitivity_28,sensitivity,3,1,5,4,4
sensitivity_29,sensitivity,2,3,2,5,1
sensitivity_30,sensitivity,3,1,5,5,1
