profile_id,item_id,raw_answer
featured,Q01,4
featured,Q02,2
featured,Q03,5
featured,Q04,3
featured,Q05,4
featured,Q06,2
featured,Q07,3
featured,Q08,1
featured,Q09,2
featured,Q10,2
featured,Q11,3
featured,Q12,4
featured,Q13,4
featured,Q14,3
featured,Q15,3
featured,Q16,1
featured,Q17,3
featured,Q18,1
featured,Q19,2
featured,Q20,2
featured,Q21,4
featured,Q22,2
featured,Q23,5
featured,Q24,4
featured,Q25,4
featured,Q26,1
featured,Q27,3
featured,Q28,1
featured,Q29,4
featured,Q30,2
featured,Q31,4
featured,Q32,3
featured,Q33,5
featured,Q34,5
featured,Q35,4
featured,Q36,2
featured,Q37,3
featured,Q38,1
featured,Q39,4
featured,Q40,3
featured,Q41,4
featured,Q42,3
featured,Q43,4
featured,Q44,4
featured,Q45,5
featured,Q46,3
featured,Q47,2
featured,Q48,5
featured,Q49,3
featured,Q50,5
sensitivity_01,Q01,5
sensitivity_01,Q02,4
sensitivity_01,Q03,4
sensitivity_01,Q04,5
sensitivity_01,Q05,2
sensitivity_01,Q06,1
sensitivity_01,Q07,3
sensitivity_01,Q08,2
sensitivity_01,Q09,1
sensitivity_01,Q10,5
sensitivity_01,Q11,4
sensitivity_01,Q12,4
sensitivity_01,Q13,4
sensitivity_01,Q14,5
sensitivity_01,Q15,1
sensitivity_01,Q16,1
sensitivity_01,Q17,1
sensitivity_01,Q18,2
sensitivity_01,Q19,1
sensitivity_01,Q20,5
sensitivity_01,Q21,5
sensitivity_01,Q22,4
sensitivity_01,Q23,5
sensitivity_01,Q24,5
sensitivity_01,Q25,1
sensitivity_01,Q26,1
sensitivity_01,Q27,2
sensitivity_01,Q28,3
sensitivity_01,Q29,5
sensitivity_01,Q30,5
sensitivity_01,Q31,5
sensitivity_01,Q32,4
sensitivity_01,Q33,3
sensitivity_01,Q34,4
sensitivity_01,Q35,2
sensitivity_01,Q36,2
sensitivity_01,Q37,1
sensitivity_01,Q38,2
sensitivity_01,Q39,5
sensitivity_01,Q40,2
sensitivity_01,Q41,5
sensitivity_01,Q42,2
sensitivity_01,Q43,4
sensitivity_01,Q44,5
sensitivity_01,Q45,1
sensitivity_01,Q46,1
sensitivity_01,Q47,2
sensitivity_01,Q48,4
sensitivity_01,Q49,5
sensitivity_01,Q50,1
sensitivity_02,Q01,2
sensitivity_02,Q02,4
sensitivity_02,Q03,5
sensitivity_02,Q04,5
sensitivity_02,Q05,1
sensitivity_02,Q06,3
sensitivity_02,Q07,4
sensitivity_02,Q08,2
sensitivity_02,Q09,1
sensitivity_02,Q10,5
sensitivity_02,Q11,2
sensitivity_02,Q12,3
sensitivity_02,Q13,5
sensitivity_02,Q14,5
sensitivity_02,Q15,1
sensitivity_02,Q16,4
sensitivity_02,Q17,2
sensitivity_02,Q18,1
sensitivity_02,Q19,1
sensitivity_02,Q20,5
sensitivity_02,Q21,2
sensitivity_02,Q22,3
sensitivity_02,Q23,4
sensitivity_02,Q24,4
sensitivity_02,Q25,1
sensitivity_02,Q26,4
sensitivity_02,Q27,3
sensitivity_02,Q28,1
sensitivity_02,Q29,5
sensitivity_02,Q30,5
sensitivity_02,Q31,2
sensitivity_02,Q32,4
sensitivity_02,Q33,5
sensitivity_02,Q34,5
sensitivity_02,Q35,1
sensitivity_02,Q36,4
sensitivity_02,Q37,4
sensitivity_02,Q38,1
sensitivity_02,Q39,5
sensitivity_02,Q40,1
sensitivity_02,Q41,2
sensitivity_02,Q42,2
sensitivity_02,Q43,5
sensitivity_02,Q44,5
sensitivity_02,Q45,1
sensitivity_02,Q46,5
sensitivity_02,Q47,3
sensitivity_02,Q48,5
sensitivity_02,Q49,4
sensitivity_02,Q50,1
sensitivity_03,Q01,1
sensitivity_03,Q02,4
sensitivity_03,Q03,3
sensitivity_03,Q04,5
sensitivity_03,Q05,2
sensitivity_03,Q06,5
sensitivity_03,Q07,1
sensitivity_03,Q08,4
sensitivity_03,Q09,1
sensitivity_03,Q10,4
sensitivity_03,Q11,1
sensitivity_03,Q12,5
sensitivity_03,Q13,2
sensitivity_03,Q14,5
sensitivity_03,Q15,2
sensitivity_03,Q16,5
sensitivity_03,Q17,1
sensitivity_03,Q18,4
sensitivity_03,Q19,1
sensitivity_03,Q20,3
sensitivity_03,Q21,1
sensitivity_03,Q22,5
sensitivity_03,Q23,1
sensitivity_03,Q24,4
sensitivity_03,Q25,2
sensitivity_03,Q26,5
sensitivity_03,Q27,2
sensitivity_03,Q28,4
sensitivity_03,Q29,5
sensitivity_03,Q30,4
sensitivity_03,Q31,1
sensitivity_03,Q32,5
sensitivity_03,Q33,2
sensitivity_03,Q34,5
sensitivity_03,Q35,1
sensitivity_03,Q36,5
sensitivity_03,Q37,1
sensitivity_03,Q38,5
sensitivity_03,Q39,5
sensitivity_03,Q40,2
sensitivity_03,Q41,1
sensitivity_03,Q42,1
sensitivity_03,Q43,2
sensitivity_03,Q44,5
sensitivity_03,Q45,2
sensitivity_03,Q46,5
sensitivity_03,Q47,1
sensitivity_03,Q48,2
sensitivity_03,Q49,5
sensitivity_03,Q50,2
sensitivity_04,Q01,2
sensitivity_04,Q02,3
sensitivity_04,Q03,3
sensitivity_04,Q04,1
sensitivity_04,Q05,1
sensitivity_04,Q06,5
sensitivity_04,Q07,3
sensitivity_04,Q08,3
sensitivity_04,Q09,4
sensitivity_04,Q10,4
sensitivity_04,Q11,2
sensitivity_04,Q12,2
sensitivity_04,Q13,2
sensitivity_04,Q14,2
sensitivity_04,Q15,2
sensitivity_04,Q16,4
sensitivity_04,Q17,3
sensitivity_04,Q18,3
sensitivity_04,Q19,5
sensitivity_04,Q20,4
sensitivity_04,Q21,1
sensitivity_04,Q22,3
sensitivity_04,Q23,3
sensitivity_04,Q24,2
sensitivity_04,Q25,1
sensitivity_04,Q26,4
sensitivity_04,Q27,3
sensitivity_04,Q28,3
sensitivity_04,Q29,2
sensitivity_04,Q30,4
sensitivity_04,Q31,2
sensitivity_04,Q32,3
sensitivity_04,Q33,3
sensitivity_04,Q34,2
sensitivity_04,Q35,2
sensitivity_04,Q36,5
sensitivity_04,Q37,3
sensitivity_04,Q38,4
sensitivity_04,Q39,2
sensitivity_04,Q40,2
sensitivity_04,Q41,1
sensitivity_04,Q42,3
sensitivity_04,Q43,2
sensitivity_04,Q44,2
sensitivity_04,Q45,3
sensitivity_04,Q46,4
sensitivity_04,Q47,3
sensitivity_04,Q48,3
sensitivity_04,Q49,2
sensitivity_04,Q50,2
sensitivity_05,Q01,5
sensitivity_05,Q02,5
sensitivity_05,Q03,4
sensitivity_05,Q04,4
sensitivity_05,Q05,4
