dimension,seed,bundle_width,reference,spearman,nearest_neighbor_agreement,top3_neighbor_overlap
512,11,5,response_difference,0.9819440841674805,0.6774193548387096,0.795698924731183
512,11,5,oracle_codebook,0.9833244681358337,0.7741935483870968,0.9139784946236561
512,11,10,response_difference,0.9567720890045166,0.8387096774193549,0.7849462365591398
512,11,10,oracle_codebook,0.9617287516593933,0.8709677419354839,0.7956989247311829
512,11,20,response_difference,0.9709916114807129,0.7741935483870968,0.881720430107527
512,11,20,oracle_codebook,0.9728482365608215,0.7741935483870968,0.881720430107527
512,11,30,response_difference,0.9637332558631897,0.7419354838709677,0.8494623655913979
512,11,30,oracle_codebook,0.9647025465965271,0.7419354838709677,0.8924731182795699
512,11,40,response_difference,0.9603610038757324,0.8064516129032258,0.8172043010752689
512,11,40,oracle_codebook,0.9618744850158691,0.7741935483870968,0.8064516129032259
512,11,50,response_difference,0.9695099592208862,0.8387096774193549,0.838709677419355
512,11,50,oracle_codebook,0.9693697094917297,0.8387096774193549,0.838709677419355
512,23,5,response_difference,0.9776783585548401,0.7096774193548387,0.817204301075269
512,23,5,oracle_codebook,0.9819477796554565,0.9032258064516129,0.8494623655913981
512,23,10,response_difference,0.9675367474555969,0.9032258064516129,0.817204301075269
512,23,10,oracle_codebook,0.971966564655304,0.9032258064516129,0.827956989247312
512,23,20,response_difference,0.9654706716537476,0.8387096774193549,0.8494623655913979
512,23,20,oracle_codebook,0.973112940788269,0.9032258064516129,0.8817204301075271
512,23,30,response_difference,0.9757091999053955,0.967741935483871,0.8602150537634408
512,23,30,oracle_codebook,0.9793663024902344,0.967741935483871,0.913978494623656
512,23,40,response_difference,0.9765817523002625,0.8709677419354839,0.9139784946236559
512,23,40,oracle_codebook,0.9807619452476501,0.8387096774193549,0.9462365591397849
512,23,50,response_difference,0.9728220701217651,0.7741935483870968,0.8494623655913979
512,23,50,oracle_codebook,0.9773305654525757,0.7419354838709677,0.881720430107527
512,37,5,response_difference,0.97222900390625,0.6774193548387096,0.817204301075269
512,37,5,oracle_codebook,0.9693944454193115,0.7419354838709677,0.8709677419354841
512,37,10,response_difference,0.9633745551109314,0.8387096774193549,0.827956989247312
512,37,10,oracle_codebook,0.9646062254905701,0.8064516129032258,0.8494623655913981
512,37,20,response_difference,0.9731037020683289,0.8064516129032258,0.9139784946236559
512,37,20,oracle_codebook,0.9699488878250122,0.8064516129032258,0.881720430107527
512,37,30,response_difference,0.9646875262260437,0.7741935483870968,0.870967741935484
512,37,30,oracle_codebook,0.9597064852714539,0.7741935483870968,0.903225806451613
512,37,40,response_difference,0.9689531326293945,0.8064516129032258,0.8064516129032258
512,37,40,oracle_codebook,0.9681755900382996,0.8064516129032258,0.7849462365591399
512,37,50,response_difference,0.9710404872894287,0.7741935483870968,0.8924731182795698
512,37,50,oracle_codebook,0.9751777052879333,0.7419354838709677,0.8817204301075269
512,53,5,response_difference,0.962434709072113,0.7096774193548387,0.7849462365591401
512,53,5,oracle_codebook,0.9661927223205566,0.9354838709677419,0.8387096774193549
512,53,10,response_difference,0.9664645791053772,0.8387096774193549,0.8172043010752689
512,53,10,oracle_codebook,0.9751371145248413,0.9032258064516129,0.838709677419355
512,53,20,response_difference,0.9649057984352112,0.7419354838709677,0.8602150537634409
512,53,20,oracle_codebook,0.9706239700317383,0.9032258064516129,0.8172043010752688
512,53,30,response_difference,0.9597993493080139,0.7096774193548387,0.9032258064516129
512,53,30,oracle_codebook,0.9610567092895508,0.7741935483870968,0.8709677419354839
512,53,40,response_difference,0.9601362943649292,0.9354838709677419,0.8172043010752691
512,53,40,oracle_codebook,0.9615511894226074,0.967741935483871,0.8064516129032261
512,53,50,response_difference,0.961227297782898,0.7741935483870968,0.8279569892473119
512,53,50,oracle_codebook,0.9693052172660828,0.7096774193548387,0.8279569892473119
512,71,5,response_difference,0.97893226146698,0.7741935483870968,0.7741935483870969
512,71,5,oracle_codebook,0.9778212904930115,0.8064516129032258,0.8494623655913981
512,71,10,response_difference,0.9723226428031921,0.967741935483871,0.774193548387097
512,71,10,oracle_codebook,0.9746759533882141,0.9354838709677419,0.838709677419355
512,71,20,response_difference,0.9660889506340027,0.8387096774193549,0.8602150537634409
512,71,20,oracle_codebook,0.9697690010070801,0.8709677419354839,0.8494623655913979
512,71,30,response_difference,0.980640709400177,0.7741935483870968,0.9032258064516129
512,71,30,oracle_codebook,0.9813358187675476,0.8064516129032258,0.9032258064516129
512,71,40,response_difference,0.9762455821037292,0.9032258064516129,0.8817204301075269
512,71,40,oracle_codebook,0.9779602289199829,0.9354838709677419,0.8924731182795699
512,71,50,response_difference,0.9744791388511658,0.8709677419354839,0.8924731182795701
512,71,50,oracle_codebook,0.976275622844696,0.9354838709677419,0.8817204301075271
2048,11,5,response_difference,0.9925485849380493,0.7419354838709677,0.881720430107527
2048,11,5,oracle_codebook,0.9922086596488953,0.9032258064516129,0.9032258064516129
2048,11,10,response_difference,0.993576169013977,0.967741935483871,0.838709677419355
2048,11,10,oracle_codebook,0.993155837059021,1.0,0.8924731182795701
2048,11,20,response_difference,0.9928911924362183,0.8709677419354839,0.956989247311828
2048,11,20,oracle_codebook,0.9928272366523743,0.7419354838709677,0.967741935483871
2048,11,30,response_difference,0.9896295070648193,0.8709677419354839,0.913978494623656
2048,11,30,oracle_codebook,0.9897435307502747,0.9032258064516129,0.913978494623656
2048,11,40,response_difference,0.9904143214225769,0.967741935483871,0.903225806451613
2048,11,40,oracle_codebook,0.9912227392196655,1.0,0.924731182795699
2048,11,50,response_difference,0.9901121258735657,0.967741935483871,0.913978494623656
2048,11,50,oracle_codebook,0.9906657934188843,0.967741935483871,0.913978494623656
2048,23,5,response_difference,0.9900305867195129,0.8387096774193549,0.827956989247312
2048,23,5,oracle_codebook,0.9859747886657715,0.8387096774193549,0.8817204301075271
2048,23,10,response_difference,0.9903748631477356,1.0,0.8602150537634411
2048,23,10,oracle_codebook,0.9892249703407288,1.0,0.9032258064516131
2048,23,20,response_difference,0.9920996427536011,0.8709677419354839,0.9569892473118281
2048,23,20,oracle_codebook,0.9914550185203552,0.8387096774193549,0.9462365591397851
2048,23,30,response_difference,0.9911196827888489,0.8387096774193549,0.967741935483871
2048,23,30,oracle_codebook,0.9908275604248047,0.8387096774193549,0.956989247311828
2048,23,40,response_difference,0.9906026721000671,0.9354838709677419,0.9354838709677419
2048,23,40,oracle_codebook,0.9902514219284058,0.9354838709677419,0.9354838709677419
2048,23,50,response_difference,0.9883416891098022,0.8709677419354839,0.9462365591397849
2048,23,50,oracle_codebook,0.987619161605835,0.8387096774193549,0.9462365591397849
2048,37,5,response_difference,0.9920756816864014,0.7096774193548387,0.8494623655913981
2048,37,5,oracle_codebook,0.9927167892456055,0.8064516129032258,0.8924731182795701
2048,37,10,response_difference,0.9917880892753601,0.967741935483871,0.903225806451613
2048,37,10,oracle_codebook,0.9916850328445435,0.9354838709677419,0.903225806451613
2048,37,20,response_difference,0.9911196231842041,0.8709677419354839,0.9354838709677421
2048,37,20,oracle_codebook,0.9917073845863342,0.9354838709677419,0.946236559139785
2048,37,30,response_difference,0.9919851422309875,0.9032258064516129,0.9354838709677419
2048,37,30,oracle_codebook,0.9921910762786865,0.9032258064516129,0.9354838709677421
2048,37,40,response_difference,0.9911501407623291,0.9354838709677419,0.924731182795699
2048,37,40,oracle_codebook,0.992011308670044,0.9354838709677419,0.913978494623656
2048,37,50,response_difference,0.9886654615402222,0.9032258064516129,0.924731182795699
2048,37,50,oracle_codebook,0.9890308380126953,0.967741935483871,0.9354838709677419
2048,53,5,response_difference,0.9917879104614258,0.8387096774193549,0.8279569892473118
2048,53,5,oracle_codebook,0.9903828501701355,0.8709677419354839,0.903225806451613
2048,53,10,response_difference,0.9924555420875549,0.9354838709677419,0.8494623655913978
2048,53,10,oracle_codebook,0.9927961230278015,0.967741935483871,0.8709677419354839
2048,53,20,response_difference,0.9924371838569641,0.8387096774193549,0.9247311827956991
2048,53,20,oracle_codebook,0.9928098917007446,0.8709677419354839,0.9247311827956991
2048,53,30,response_difference,0.9926806092262268,0.9354838709677419,0.913978494623656
2048,53,30,oracle_codebook,0.9929553866386414,0.9354838709677419,0.9354838709677419
2048,53,40,response_difference,0.9886561036109924,1.0,0.8924731182795698
2048,53,40,oracle_codebook,0.9895049333572388,1.0,0.8924731182795699
2048,53,50,response_difference,0.9894676804542542,0.9354838709677419,0.946236559139785
2048,53,50,oracle_codebook,0.9895151257514954,0.9032258064516129,0.946236559139785
2048,71,5,response_difference,0.9929894804954529,0.8064516129032258,0.8387096774193551
2048,71,5,oracle_codebook,0.9903579354286194,0.7741935483870968,0.8494623655913982
2048,71,10,response_difference,0.9936047196388245,0.9354838709677419,0.8924731182795701
2048,71,10,oracle_codebook,0.9929620027542114,0.967741935483871,0.8817204301075271
2048,71,20,response_difference,0.9904208183288574,0.8387096774193549,0.956989247311828
2048,71,20,oracle_codebook,0.9911668300628662,0.8387096774193549,0.956989247311828
2048,71,30,response_difference,0.9892948865890503,0.967741935483871,0.870967741935484
2048,71,30,oracle_codebook,0.9907014966011047,0.967741935483871,0.924731182795699
2048,71,40,response_difference,0.9883803129196167,0.967741935483871,0.913978494623656
2048,71,40,oracle_codebook,0.9886189103126526,0.967741935483871,0.8924731182795701
2048,71,50,response_difference,0.9916465282440186,0.8709677419354839,0.946236559139785
2048,71,50,oracle_codebook,0.9921509623527527,0.8709677419354839,0.956989247311828
4096,11,5,response_difference,0.9930887222290039,0.6774193548387096,0.827956989247312
4096,11,5,oracle_codebook,0.9963534474372864,0.9032258064516129,0.913978494623656
4096,11,10,response_difference,0.991974413394928,0.9032258064516129,0.913978494623656
4096,11,10,oracle_codebook,0.9945198893547058,0.9354838709677419,0.9569892473118279
4096,11,20,response_difference,0.9921061396598816,0.8064516129032258,0.9354838709677419
4096,11,20,oracle_codebook,0.9947525858879089,0.8064516129032258,0.9354838709677419
4096,11,30,response_difference,0.9931343793869019,0.9032258064516129,0.956989247311828
4096,11,30,oracle_codebook,0.9951587915420532,0.9354838709677419,0.956989247311828
4096,11,40,response_difference,0.9924724698066711,0.967741935483871,0.946236559139785
4096,11,40,oracle_codebook,0.9938490390777588,0.967741935483871,0.956989247311828
4096,11,50,response_difference,0.9936161041259766,0.8709677419354839,0.956989247311828
4096,11,50,oracle_codebook,0.9947407841682434,0.9032258064516129,0.946236559139785
4096,23,5,response_difference,0.9928736090660095,0.9032258064516129,0.8494623655913981
4096,23,5,oracle_codebook,0.9905499219894409,0.9032258064516129,0.881720430107527
4096,23,10,response_difference,0.996052086353302,0.967741935483871,0.860215053763441
4096,23,10,oracle_codebook,0.9959928393363953,1.0,0.946236559139785
4096,23,20,response_difference,0.9903719425201416,1.0,0.9354838709677421
4096,23,20,oracle_codebook,0.9915750026702881,1.0,0.9354838709677421
4096,23,30,response_difference,0.9874131679534912,0.9032258064516129,0.903225806451613
4096,23,30,oracle_codebook,0.9893723130226135,0.9032258064516129,0.9354838709677421
4096,23,40,response_difference,0.9918743968009949,0.967741935483871,0.967741935483871
4096,23,40,oracle_codebook,0.9933552742004395,0.967741935483871,0.967741935483871
4096,23,50,response_difference,0.9939616322517395,0.9032258064516129,0.946236559139785
4096,23,50,oracle_codebook,0.9951263666152954,0.8387096774193549,0.956989247311828
4096,37,5,response_difference,0.9929164052009583,0.7419354838709677,0.860215053763441
4096,37,5,oracle_codebook,0.9872578978538513,0.7741935483870968,0.8387096774193551
4096,37,10,response_difference,0.9965328574180603,1.0,0.8924731182795699
4096,37,10,oracle_codebook,0.9945441484451294,0.967741935483871,0.9354838709677419
4096,37,20,response_difference,0.9951149821281433,0.8387096774193549,0.956989247311828
4096,37,20,oracle_codebook,0.9947682023048401,0.8709677419354839,0.967741935483871
4096,37,30,response_difference,0.9949929118156433,0.9032258064516129,0.9354838709677421
4096,37,30,oracle_codebook,0.9946349263191223,0.9354838709677419,0.956989247311828
4096,37,40,response_difference,0.9939452409744263,0.967741935483871,0.9677419354838711
4096,37,40,oracle_codebook,0.9937447905540466,0.967741935483871,0.9677419354838711
4096,37,50,response_difference,0.9947131276130676,0.9354838709677419,0.946236559139785
4096,37,50,oracle_codebook,0.9947860240936279,0.9354838709677419,0.9354838709677419
4096,53,5,response_difference,0.9930631518363953,0.6774193548387096,0.8494623655913979
4096,53,5,oracle_codebook,0.9857617020606995,0.8387096774193549,0.8494623655913981
4096,53,10,response_difference,0.9964784979820251,0.967741935483871,0.881720430107527
4096,53,10,oracle_codebook,0.9951558113098145,0.967741935483871,0.913978494623656
4096,53,20,response_difference,0.994896650314331,0.9354838709677419,0.956989247311828
4096,53,20,oracle_codebook,0.9946670532226562,0.9354838709677419,0.967741935483871
4096,53,30,response_difference,0.9939855933189392,1.0,0.946236559139785
4096,53,30,oracle_codebook,0.9938707947731018,1.0,1.0
4096,53,40,response_difference,0.994701087474823,1.0,0.9247311827956991
4096,53,40,oracle_codebook,0.9946265816688538,1.0,0.946236559139785
4096,53,50,response_difference,0.9958022236824036,0.8064516129032258,0.9462365591397849
4096,53,50,oracle_codebook,0.9956958889961243,0.8709677419354839,0.956989247311828
4096,71,5,response_difference,0.992764413356781,0.9032258064516129,0.8494623655913981
4096,71,5,oracle_codebook,0.9902924299240112,0.967741935483871,0.8924731182795702
4096,71,10,response_difference,0.9959665536880493,0.967741935483871,0.8602150537634409
4096,71,10,oracle_codebook,0.9950140714645386,0.9354838709677419,0.9354838709677419
4096,71,20,response_difference,0.9941552877426147,0.9354838709677419,0.9354838709677421
4096,71,20,oracle_codebook,0.9932714104652405,0.9354838709677419,0.9354838709677421
4096,71,30,response_difference,0.9957807064056396,0.967741935483871,0.924731182795699
4096,71,30,oracle_codebook,0.9954429268836975,0.967741935483871,0.924731182795699
4096,71,40,response_difference,0.9961679577827454,1.0,0.946236559139785
4096,71,40,oracle_codebook,0.9956826567649841,1.0,0.9354838709677419
4096,71,50,response_difference,0.9958221316337585,0.9354838709677419,0.967741935483871
4096,71,50,oracle_codebook,0.9955083727836609,0.9354838709677419,0.9784946236559139
8192,11,5,response_difference,0.9930887222290039,0.6129032258064516,0.838709677419355
8192,11,5,oracle_codebook,0.9933590292930603,0.9032258064516129,0.9247311827956992
8192,11,10,response_difference,0.9970359802246094,0.967741935483871,0.9032258064516129
8192,11,10,oracle_codebook,0.9965206384658813,0.967741935483871,0.8709677419354841
8192,11,20,response_difference,0.9981774687767029,0.8709677419354839,0.9784946236559141
8192,11,20,oracle_codebook,0.9980403780937195,0.9032258064516129,0.9677419354838711
8192,11,30,response_difference,0.9977288246154785,0.967741935483871,0.946236559139785
8192,11,30,oracle_codebook,0.9977976083755493,0.967741935483871,0.956989247311828
8192,11,40,response_difference,0.9974132180213928,1.0,0.956989247311828
8192,11,40,oracle_codebook,0.9975373148918152,1.0,0.9677419354838711
8192,11,50,response_difference,0.9977768659591675,0.967741935483871,0.9784946236559139
8192,11,50,oracle_codebook,0.9977061748504639,0.9354838709677419,0.967741935483871
8192,23,5,response_difference,0.9930887222290039,0.7741935483870968,0.838709677419355
8192,23,5,oracle_codebook,0.9895414113998413,0.8709677419354839,0.9032258064516129
8192,23,10,response_difference,0.9978382587432861,0.9354838709677419,0.903225806451613
8192,23,10,oracle_codebook,0.9967618584632874,0.967741935483871,0.903225806451613
8192,23,20,response_difference,0.9964167475700378,0.967741935483871,0.9569892473118279
8192,23,20,oracle_codebook,0.9963059425354004,0.9032258064516129,0.9354838709677419
