bundle_width,condition,bundle_cosine,oracle_cosine,pairs,profile_seed_units
5,far,0.8515980293353398,0.8512271347866264,3680,155
5,near,0.9505105360979248,0.9504142650129609,1245,155
10,far,0.8493734489205063,0.8510458800613239,3720,155
10,near,0.9497114812174151,0.95033934234291,3720,155
20,far,0.8501670648333846,0.8510514126029066,3720,155
20,near,0.9499089183025462,0.9503482154107861,3720,155
40,far,0.8523748631278675,0.8510079168504284,3720,155
40,near,0.9507530304533178,0.9503356244487146,3720,155
50,far,0.8509454974083491,0.8510047436785954,3720,155
50,near,0.950307508261614,0.9503282930107526,3720,155
