dimension,seed,bundle_width,exact_accuracy,mean_absolute_error,within_one,mean_winner_margin,queries
512,11,5,1.0,0.0,1.0,0.0942706004265816,155
512,11,10,0.9870967741935484,0.012903225806451613,1.0,0.05995344803217919,310
512,11,20,0.9403225806451613,0.06451612903225806,0.9967741935483871,0.04094070084393024,620
512,11,30,0.8795698924731182,0.14086021505376345,0.9827956989247312,0.033177619591675776,930
512,11,40,0.8314516129032258,0.20403225806451614,0.9717741935483871,0.02934476627757953,1240
512,11,50,0.772258064516129,0.2838709677419355,0.9529032258064516,0.027563037098415438,1550
512,23,5,1.0,0.0,1.0,0.10662891105298072,155
512,23,10,1.0,0.0,1.0,0.07126259866260713,310
512,23,20,0.9548387096774194,0.04838709677419355,0.9967741935483871,0.049148522972339584,620
512,23,30,0.9021505376344086,0.1086021505376344,0.9903225806451613,0.03900137833289562,930
512,23,40,0.8370967741935483,0.18870967741935485,0.9766129032258064,0.03508596208937947,1240
512,23,50,0.8212903225806452,0.21935483870967742,0.9638709677419355,0.0312334762597757,1550
512,37,5,1.0,0.0,1.0,0.10509301731663366,155
512,37,10,0.9870967741935484,0.012903225806451613,1.0,0.07423918824042043,310
512,37,20,0.9516129032258065,0.04838709677419355,1.0,0.05268557969360582,620
512,37,30,0.9161290322580645,0.0967741935483871,0.989247311827957,0.04197155215967727,930
512,37,40,0.8346774193548387,0.20403225806451614,0.9693548387096774,0.033577442012967605,1240
512,37,50,0.8,0.2470967741935484,0.9606451612903226,0.030607001187820587,1550
512,53,5,1.0,0.0,1.0,0.1015945912368836,155
512,53,10,1.0,0.0,1.0,0.07574324396348768,310
512,53,20,0.9451612903225807,0.05967741935483871,0.9967741935483871,0.04830749814789141,620
512,53,30,0.8827956989247312,0.14193548387096774,0.9817204301075269,0.03905524172850194,930
512,53,40,0.8032258064516129,0.23790322580645162,0.9701612903225807,0.03198577064960714,1240
512,53,50,0.7696774193548387,0.2845161290322581,0.9561290322580646,0.029816035053903057,1550
512,71,5,1.0,0.0,1.0,0.09478871168628816,155
512,71,10,0.9967741935483871,0.0032258064516129032,1.0,0.06574168166806621,310
512,71,20,0.9258064516129032,0.07741935483870968,0.9967741935483871,0.04881604747666467,620
512,71,30,0.8795698924731182,0.13440860215053763,0.9870967741935484,0.040567217166385346,930
512,71,40,0.842741935483871,0.17661290322580644,0.9822580645161291,0.03510873907756421,1240
512,71,50,0.8083870967741935,0.22838709677419355,0.9716129032258064,0.0320946310196192,1550
2048,11,5,1.0,0.0,1.0,0.1019000357197177,155
2048,11,10,1.0,0.0,1.0,0.07057924852255852,310
2048,11,20,1.0,0.0,1.0,0.049550644849096576,620
2048,11,30,0.9978494623655914,0.002150537634408602,1.0,0.03891330853264819,930
2048,11,40,0.9919354838709677,0.008064516129032258,1.0,0.032856138933810494,1240
2048,11,50,0.9851612903225806,0.015483870967741935,0.9993548387096775,0.029117794200297326,1550
2048,23,5,1.0,0.0,1.0,0.1080310744623984,155
2048,23,10,1.0,0.0,1.0,0.0752982439052674,310
2048,23,20,1.0,0.0,1.0,0.051124971840650804,620
2048,23,30,0.9946236559139785,0.005376344086021506,1.0,0.042367447167634964,930
2048,23,40,0.9903225806451613,0.00967741935483871,1.0,0.03525967248865674,1240
2048,23,50,0.9825806451612903,0.017419354838709676,1.0,0.03064608240560178,1550
2048,37,5,1.0,0.0,1.0,0.1078598730025753,155
2048,37,10,1.0,0.0,1.0,0.07659234250745466,310
2048,37,20,1.0,0.0,1.0,0.05289186419498536,620
